data	mut	pop	len	ind	ploidy	rep	method	rf	time	core	score_reconstructed	score_true
M201	5.00E-08	1.00E+05	5.00E+06	1	1	27	RAxML-ng	3	9529.294	64	-114034454.3	-138874674.9
M201	5.00E-08	1.00E+05	5.00E+06	1	1	28	RAxML-ng	2	17789.532	64	-140031882.2	-164366801.5
M201	5.00E-08	1.00E+05	5.00E+06	1	1	29	RAxML-ng	5	14982.883	64	-120826738.3	-120828651.4
M201	5.00E-08	1.00E+05	5.00E+06	1	1	30	RAxML-ng	3	17920.628	64	-126777721.9	-144819515
M201	5.00E-08	1.00E+05	5.00E+06	1	1	31	RAxML-ng	1	15420.067	64	-118454269	-125034409.4
M201	5.00E-08	1.00E+05	5.00E+06	1	1	32	RAxML-ng	0	18129.585	64	-149428612.3	-172889092.2
M201	5.00E-08	1.00E+05	5.00E+06	1	1	33	RAxML-ng	5	17379.687	64	-130777888.2	-130779607
M201	5.00E-08	1.00E+05	5.00E+06	1	1	34	RAxML-ng	2	16721.455	64	-115344183.3	-141139921.7
M201	5.00E-08	1.00E+05	5.00E+06	1	1	35	RAxML-ng	3	18200.638	64	-129042670.5	-146293516.1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	36	RAxML-ng	2	19551.253	64	-136131731.9	-189554349.1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	37	RAxML-ng	3	12728.734	64	-116590207.2	-123837686.2
M201	5.00E-08	1.00E+05	5.00E+06	1	1	38	RAxML-ng	2	17402.245	64	-141604952	-179816481.6
M201	5.00E-08	1.00E+05	5.00E+06	1	1	39	RAxML-ng	0	15129.168	64	-120248743.8	-139906264
M201	5.00E-08	1.00E+05	5.00E+06	1	1	40	RAxML-ng	3	16460.05	64	-127406509.8	-159611739.1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	41	RAxML-ng	4	16580.66	64	-119297079.1	-151350505.3
M201	5.00E-08	1.00E+05	5.00E+06	1	1	42	RAxML-ng	4	12758.032	64	-120318372.6	-138651405.9
M201	5.00E-08	1.00E+05	5.00E+06	1	1	43	RAxML-ng	3	14481.051	64	-136302523.5	-163791627.8
M201	5.00E-08	1.00E+05	5.00E+06	1	1	44	RAxML-ng	3	8516.405	64	-97061833.02	-127758459.9
M201	5.00E-08	1.00E+05	5.00E+06	1	1	45	RAxML-ng	1	8842.182	64	-98977625.25	-115848701.5
M201	5.00E-08	1.00E+05	5.00E+06	1	1	46	RAxML-ng	3	16212.347	64	-118662897.2	-133154350.3
M201	5.00E-08	1.00E+05	5.00E+06	1	1	47	RAxML-ng	1	15055.421	64	-133658742.2	-162905893.7
M201	5.00E-08	1.00E+05	5.00E+06	1	1	48	RAxML-ng	2	17660.293	64	-126404313.9	-156152417
M201	5.00E-08	1.00E+05	5.00E+06	1	1	49	RAxML-ng	2	15199.563	64	-116266694.3	-135055739.9
M201	5.00E-08	1.00E+05	5.00E+06	1	1	50	RAxML-ng	2	11923.732	64	-128328581.1	-139639411.3
M201	5.00E-08	1.00E+05	5.00E+06	1	1	1	wASTRAL	2	2.36E+06	1	72644053590	72643894340
M201	5.00E-08	1.00E+05	5.00E+06	1	1	2	wASTRAL	1	2.06E+06	1	88027425530	88027174640
M201	5.00E-08	1.00E+05	5.00E+06	1	1	3	wASTRAL	5	2.55E+06	1	57574431970	57562399960
M201	5.00E-08	1.00E+05	5.00E+06	1	1	4	wASTRAL	5	2.32E+06	1	66576125170	66567938840
M201	5.00E-08	1.00E+05	5.00E+06	1	1	5	wASTRAL	3	2.86E+06	1	68373026330	68355720200
M201	5.00E-08	1.00E+05	5.00E+06	1	1	6	wASTRAL	6	2.57E+06	1	70599636950	70597237870
M201	5.00E-08	1.00E+05	5.00E+06	1	1	7	wASTRAL	0	2.95E+06	1	65851611160	65851611160
M201	5.00E-08	1.00E+05	5.00E+06	1	1	8	wASTRAL	4	2.43E+06	1	62404818870	62404166000
M201	5.00E-08	1.00E+05	5.00E+06	1	1	9	wASTRAL	4	2.34E+06	1	57484964060	57484109970
M201	5.00E-08	1.00E+05	5.00E+06	1	1	10	wASTRAL	3	2.71E+06	1	61833895880	61827437860
M201	5.00E-08	1.00E+05	5.00E+06	1	1	11	wASTRAL	4	2.47E+06	1	67951880680	67950287330
M201	5.00E-08	1.00E+05	5.00E+06	1	1	12	wASTRAL	2	2.48E+06	1	77727722840	77727664170
M201	5.00E-08	1.00E+05	5.00E+06	1	1	13	wASTRAL	7	2.64E+06	1	62405587690	62405273420
M201	5.00E-08	1.00E+05	5.00E+06	1	1	14	wASTRAL	3	2.77E+06	1	65379409090	65376910440
M201	5.00E-08	1.00E+05	5.00E+06	1	1	15	wASTRAL	7	2.64E+06	1	79332398380	79331072740
M201	5.00E-08	1.00E+05	5.00E+06	1	1	16	wASTRAL	3	2.56E+06	1	62961311690	62958617200
M201	5.00E-08	1.00E+05	5.00E+06	1	1	17	wASTRAL	1	2.90E+06	1	56886713320	56883731010
M201	5.00E-08	1.00E+05	5.00E+06	1	1	18	wASTRAL	6	2.70E+06	1	58421132940	58415192960
M201	5.00E-08	1.00E+05	5.00E+06	1	1	19	wASTRAL	3	2.40E+06	1	72044680070	72041924600
M201	5.00E-08	1.00E+05	5.00E+06	1	1	20	wASTRAL	2	2.56E+06	1	73415063220	73415024360
M201	5.00E-08	1.00E+05	5.00E+06	1	1	21	wASTRAL	3	2.68E+06	1	58805865500	58805321590
M201	5.00E-08	1.00E+05	5.00E+06	1	1	22	wASTRAL	2	2.37E+06	1	76819853540	76819842740
M201	5.00E-08	1.00E+05	5.00E+06	1	1	23	wASTRAL	5	2.40E+06	1	63632248570	63628722510
M201	5.00E-08	1.00E+05	5.00E+06	1	1	24	wASTRAL	2	2.00E+06	1	41870345940	41870340170
M201	5.00E-08	1.00E+05	5.00E+06	1	1	25	wASTRAL	3	2.57E+06	1	73700709860	73700633960
M201	5.00E-08	1.00E+05	5.00E+06	1	1	26	wASTRAL	4	2.75E+06	1	71689681210	71688037140
M201	5.00E-08	1.00E+05	5.00E+06	1	1	27	wASTRAL	5	1.87E+06	1	35421212340	35420278540
M201	5.00E-08	1.00E+05	5.00E+06	1	1	28	wASTRAL	2	2.70E+06	1	74707077010	74707071770
M201	5.00E-08	1.00E+05	5.00E+06	1	1	29	wASTRAL	1	2.45E+06	1	63176422680	63176421290
M201	5.00E-08	1.00E+05	5.00E+06	1	1	30	wASTRAL	3	2.86E+06	1	66720883920	66704823030
M201	5.00E-08	1.00E+05	5.00E+06	1	1	31	wASTRAL	2	2.68E+06	1	66094622510	66081233890
M201	5.00E-08	1.00E+05	5.00E+06	1	1	32	wASTRAL	0	2.81E+06	1	68223511890	68223511890
M201	5.00E-08	1.00E+05	5.00E+06	1	1	33	wASTRAL	3	2.79E+06	1	72952034430	72951917200
M201	5.00E-08	1.00E+05	5.00E+06	1	1	34	wASTRAL	2	2.51E+06	1	64038937740	64035658490
M201	5.00E-08	1.00E+05	5.00E+06	1	1	35	wASTRAL	1	2.69E+06	1	85257932480	85257784880
M201	5.00E-08	1.00E+05	5.00E+06	1	1	36	wASTRAL	4	2.70E+06	1	65990770310	65990448370
M201	5.00E-08	1.00E+05	5.00E+06	1	1	37	wASTRAL	3	2.20E+06	1	54877330590	54877289770
M201	5.00E-08	1.00E+05	5.00E+06	1	1	38	wASTRAL	2	2.64E+06	1	64510721970	64503715930
M201	5.00E-08	1.00E+05	5.00E+06	1	1	39	wASTRAL	4	2.39E+06	1	77356622350	77343464360
M201	5.00E-08	1.00E+05	5.00E+06	1	1	40	wASTRAL	2	2.68E+06	1	66339610750	66313826040
M201	5.00E-08	1.00E+05	5.00E+06	1	1	41	wASTRAL	3	2.48E+06	1	67563978590	67563617460
M201	5.00E-08	1.00E+05	5.00E+06	1	1	42	wASTRAL	3	2.28E+06	1	62359890300	62356901880
M201	5.00E-08	1.00E+05	5.00E+06	1	1	43	wASTRAL	5	2.44E+06	1	52189386670	52179549180
M201	5.00E-08	1.00E+05	5.00E+06	1	1	44	wASTRAL	2	1.71E+06	1	49098134650	49097455260
M201	5.00E-08	1.00E+05	5.00E+06	1	1	45	wASTRAL	2	1.89E+06	1	60024073640	60023642380
M201	5.00E-08	1.00E+05	5.00E+06	1	1	46	wASTRAL	5	2.35E+06	1	78574431550	78573461210
M201	5.00E-08	1.00E+05	5.00E+06	1	1	47	wASTRAL	2	2.37E+06	1	64135300020	64133543090
M201	5.00E-08	1.00E+05	5.00E+06	1	1	48	wASTRAL	3	2.30E+06	1	72715155680	72691484380
M201	5.00E-08	1.00E+05	5.00E+06	1	1	49	wASTRAL	2	2.58E+06	1	70343740650	70341306650
M201	5.00E-08	1.00E+05	5.00E+06	1	1	50	wASTRAL	3	1.70E+06	1	50515552550	50514986610
