data	mut	pop	len	ind	ploidy	rep	method	rf	time	core
M201	5.00E-08	1.00E+05	5.00E+06	1	1	24	wASTRAL*	2	2.00E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	25	wASTRAL*	3	2.57E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	26	wASTRAL*	4	2.75E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	27	wASTRAL*	5	1.87E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	28	wASTRAL*	2	2.70E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	29	wASTRAL*	1	2.45E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	30	wASTRAL*	3	2.86E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	31	wASTRAL*	2	2.68E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	32	wASTRAL*	0	2.81E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	33	wASTRAL*	3	2.79E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	34	wASTRAL*	2	2.51E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	35	wASTRAL*	1	2.69E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	36	wASTRAL*	4	2.70E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	37	wASTRAL*	3	2.20E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	38	wASTRAL*	2	2.64E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	39	wASTRAL*	4	2.39E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	40	wASTRAL*	2	2.68E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	41	wASTRAL*	3	2.48E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	42	wASTRAL*	3	2.28E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	43	wASTRAL*	5	2.44E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	44	wASTRAL*	2	1.71E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	45	wASTRAL*	2	1.89E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	46	wASTRAL*	5	2.35E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	47	wASTRAL*	2	2.37E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	48	wASTRAL*	3	2.30E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	49	wASTRAL*	2	2.58E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	1	50	wASTRAL*	3	1.70E+06	1
M201	5.00E-08	1.00E+05	5.00E+06	1	2	1	SVDQuartets	4	26115	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	2	SVDQuartets	3	28745	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	3	SVDQuartets	7	41987	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	4	SVDQuartets	5	26648	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	5	SVDQuartets	2	65593	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	6	SVDQuartets	4	57913	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	7	SVDQuartets	1	41462	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	8	SVDQuartets	3	36261	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	9	SVDQuartets	9	41960	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	10	SVDQuartets	6	49555	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	11	SVDQuartets	3	48298	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	12	SVDQuartets	3	57923	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	13	SVDQuartets	5	63216	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	14	SVDQuartets	4	39461	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	15	SVDQuartets	5	53948	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	16	SVDQuartets	0	49448	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	17	SVDQuartets	2	58375	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	18	SVDQuartets	9	42540	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	19	SVDQuartets	3	35900	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	20	SVDQuartets	3	48964	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	21	SVDQuartets	2	48590	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	22	SVDQuartets	0	64878	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	23	SVDQuartets	4	34277	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	24	SVDQuartets	5	20847	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	25	SVDQuartets	3	47254	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	26	SVDQuartets	2	52942	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	27	SVDQuartets	12	13399	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	28	SVDQuartets	2	48848	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	29	SVDQuartets	5	27162	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	30	SVDQuartets	4	35818	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	31	SVDQuartets	0	29573	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	32	SVDQuartets	1	57386	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	33	SVDQuartets	6	43207	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	34	SVDQuartets	5	38586	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	35	SVDQuartets	2	57386	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	36	SVDQuartets	3	37050	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	37	SVDQuartets	5	21182	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	38	SVDQuartets	2	66466	64
