data	mut	pop	gene	ind	ploidy	rep	method	rf
M201	5.00E-08	1.00E+05	2000	1	1	17	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	18	RAxML-ng	8
M201	5.00E-08	1.00E+05	2000	1	1	19	RAxML-ng	4
M201	5.00E-08	1.00E+05	2000	1	1	20	RAxML-ng	1
M201	5.00E-08	1.00E+05	2000	1	1	21	RAxML-ng	4
M201	5.00E-08	1.00E+05	2000	1	1	22	RAxML-ng	2
M201	5.00E-08	1.00E+05	2000	1	1	23	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	24	RAxML-ng	2
M201	5.00E-08	1.00E+05	2000	1	1	25	RAxML-ng	5
M201	5.00E-08	1.00E+05	2000	1	1	26	RAxML-ng	4
M201	5.00E-08	1.00E+05	2000	1	1	27	RAxML-ng	5
M201	5.00E-08	1.00E+05	2000	1	1	28	RAxML-ng	2
M201	5.00E-08	1.00E+05	2000	1	1	29	RAxML-ng	4
M201	5.00E-08	1.00E+05	2000	1	1	30	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	31	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	32	RAxML-ng	1
M201	5.00E-08	1.00E+05	2000	1	1	33	RAxML-ng	4
M201	5.00E-08	1.00E+05	2000	1	1	34	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	35	RAxML-ng	2
M201	5.00E-08	1.00E+05	2000	1	1	36	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	37	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	38	RAxML-ng	2
M201	5.00E-08	1.00E+05	2000	1	1	39	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	40	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	41	RAxML-ng	6
M201	5.00E-08	1.00E+05	2000	1	1	42	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	43	RAxML-ng	4
M201	5.00E-08	1.00E+05	2000	1	1	44	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	45	RAxML-ng	1
M201	5.00E-08	1.00E+05	2000	1	1	46	RAxML-ng	4
M201	5.00E-08	1.00E+05	2000	1	1	47	RAxML-ng	2
M201	5.00E-08	1.00E+05	2000	1	1	48	RAxML-ng	3
M201	5.00E-08	1.00E+05	2000	1	1	49	RAxML-ng	4
M201	5.00E-08	1.00E+05	2000	1	1	50	RAxML-ng	3
M201	5.00E-08	1.00E+05	1000	1	1	1	wASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	2	wASTRAL	0
M201	5.00E-08	1.00E+05	1000	1	1	3	wASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	4	wASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	5	wASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	6	wASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	7	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	8	wASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	9	wASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	10	wASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	11	wASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	12	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	13	wASTRAL	7
M201	5.00E-08	1.00E+05	1000	1	1	14	wASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	15	wASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	16	wASTRAL	1
M201	5.00E-08	1.00E+05	1000	1	1	17	wASTRAL	1
M201	5.00E-08	1.00E+05	1000	1	1	18	wASTRAL	7
M201	5.00E-08	1.00E+05	1000	1	1	19	wASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	20	wASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	21	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	22	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	23	wASTRAL	8
M201	5.00E-08	1.00E+05	1000	1	1	24	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	25	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	26	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	27	wASTRAL	8
M201	5.00E-08	1.00E+05	1000	1	1	28	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	29	wASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	30	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	31	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	32	wASTRAL	1
M201	5.00E-08	1.00E+05	1000	1	1	33	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	34	wASTRAL	1
M201	5.00E-08	1.00E+05	1000	1	1	35	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	36	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	37	wASTRAL	4
M201	5.00E-08	1.00E+05	1000	1	1	38	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	39	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	40	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	41	wASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	42	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	43	wASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	44	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	45	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	46	wASTRAL	5
M201	5.00E-08	1.00E+05	1000	1	1	47	wASTRAL	2
M201	5.00E-08	1.00E+05	1000	1	1	48	wASTRAL	6
M201	5.00E-08	1.00E+05	1000	1	1	49	wASTRAL	3
M201	5.00E-08	1.00E+05	1000	1	1	50	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	1	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	2	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	3	wASTRAL	10
M201	5.00E-08	1.00E+05	500	1	1	4	wASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	5	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	6	wASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	7	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	8	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	9	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	10	wASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	11	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	12	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	13	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	14	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	15	wASTRAL	8
M201	5.00E-08	1.00E+05	500	1	1	16	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	17	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	18	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	19	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	20	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	21	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	22	wASTRAL	2
M201	5.00E-08	1.00E+05	500	1	1	23	wASTRAL	10
M201	5.00E-08	1.00E+05	500	1	1	24	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	25	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	26	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	27	wASTRAL	12
M201	5.00E-08	1.00E+05	500	1	1	28	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	29	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	30	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	31	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	32	wASTRAL	2
M201	5.00E-08	1.00E+05	500	1	1	33	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	34	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	35	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	36	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	37	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	38	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	39	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	40	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	41	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	42	wASTRAL	4
M201	5.00E-08	1.00E+05	500	1	1	43	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	44	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	45	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	46	wASTRAL	6
M201	5.00E-08	1.00E+05	500	1	1	47	wASTRAL	5
M201	5.00E-08	1.00E+05	500	1	1	48	wASTRAL	7
M201	5.00E-08	1.00E+05	500	1	1	49	wASTRAL	3
M201	5.00E-08	1.00E+05	500	1	1	50	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	1	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	2	wASTRAL	3
M201	5.00E-08	1.00E+05	250	1	1	3	wASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	4	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	5	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	6	wASTRAL	12
M201	5.00E-08	1.00E+05	250	1	1	7	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	8	wASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	9	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	10	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	11	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	12	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	13	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	14	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	15	wASTRAL	12
M201	5.00E-08	1.00E+05	250	1	1	16	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	17	wASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	18	wASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	19	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	20	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	21	wASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	22	wASTRAL	2
M201	5.00E-08	1.00E+05	250	1	1	23	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	24	wASTRAL	10
M201	5.00E-08	1.00E+05	250	1	1	25	wASTRAL	8
M201	5.00E-08	1.00E+05	250	1	1	26	wASTRAL	5
M201	5.00E-08	1.00E+05	250	1	1	27	wASTRAL	14
M201	5.00E-08	1.00E+05	250	1	1	28	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	29	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	30	wASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	31	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	32	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	33	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	34	wASTRAL	9
M201	5.00E-08	1.00E+05	250	1	1	35	wASTRAL	6
M201	5.00E-08	1.00E+05	250	1	1	36	wASTRAL	5
M201	5.00E-08	1.00E+05	250	1	1	37	wASTRAL	11
M201	5.00E-08	1.00E+05	250	1	1	38	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	39	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	40	wASTRAL	4
M201	5.00E-08	1.00E+05	250	1	1	41	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	42	wASTRAL	5
M201	5.00E-08	1.00E+05	250	1	1	43	wASTRAL	3
M201	5.00E-08	1.00E+05	250	1	1	44	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	45	wASTRAL	7
M201	5.00E-08	1.00E+05	250	1	1	46	wASTRAL	10
