case	mut	top	len	rep	method	rf
hard	2X	AB|CD	20	39	CASTER-pair	0
hard	2X	AB|CD	20	40	CASTER-pair	0
hard	2X	AB|CD	20	41	CASTER-pair	0
hard	2X	AB|CD	20	42	CASTER-pair	0
hard	2X	AB|CD	20	43	CASTER-pair	0
hard	2X	AB|CD	20	44	CASTER-pair	0
hard	2X	AB|CD	20	45	CASTER-pair	0
hard	2X	AB|CD	20	46	CASTER-pair	0
hard	2X	AB|CD	20	47	CASTER-pair	0
hard	2X	AB|CD	20	48	CASTER-pair	0
hard	2X	AB|CD	20	49	CASTER-pair	0
hard	2X	AB|CD	20	50	CASTER-pair	0
hard	2X	AB|CD	20	51	CASTER-pair	0
hard	2X	AB|CD	20	52	CASTER-pair	0
hard	2X	AB|CD	20	53	CASTER-pair	0
hard	2X	AB|CD	20	54	CASTER-pair	0
hard	2X	AB|CD	20	55	CASTER-pair	0
hard	2X	AB|CD	20	56	CASTER-pair	0
hard	2X	AB|CD	20	57	CASTER-pair	0
hard	2X	AB|CD	20	58	CASTER-pair	0
hard	2X	AB|CD	20	59	CASTER-pair	0
hard	2X	AB|CD	20	60	CASTER-pair	0
hard	2X	AB|CD	20	61	CASTER-pair	0
hard	2X	AB|CD	20	62	CASTER-pair	0
hard	2X	AB|CD	20	63	CASTER-pair	0
hard	2X	AB|CD	20	64	CASTER-pair	0
hard	2X	AB|CD	20	65	CASTER-pair	0
hard	2X	AB|CD	20	66	CASTER-pair	0
hard	2X	AB|CD	20	67	CASTER-pair	0
hard	2X	AB|CD	20	68	CASTER-pair	0
hard	2X	AB|CD	20	69	CASTER-pair	0
hard	2X	AB|CD	20	70	CASTER-pair	0
hard	2X	AB|CD	20	71	CASTER-pair	0
hard	2X	AB|CD	20	72	CASTER-pair	0
hard	2X	AB|CD	20	73	CASTER-pair	0
hard	2X	AB|CD	20	74	CASTER-pair	0
hard	2X	AB|CD	20	75	CASTER-pair	0
hard	2X	AB|CD	20	76	CASTER-pair	0
hard	2X	AB|CD	20	77	CASTER-pair	0
hard	2X	AB|CD	20	78	CASTER-pair	0
hard	2X	AB|CD	20	79	CASTER-pair	0
hard	2X	AB|CD	20	80	CASTER-pair	0
hard	2X	AB|CD	20	81	CASTER-pair	0
hard	2X	AB|CD	20	82	CASTER-pair	0
hard	2X	AB|CD	20	83	CASTER-pair	0
hard	2X	AB|CD	20	84	CASTER-pair	0
hard	2X	AB|CD	20	85	CASTER-pair	0
hard	2X	AB|CD	20	86	CASTER-pair	0
hard	2X	AB|CD	20	87	CASTER-pair	0
hard	2X	AB|CD	20	88	CASTER-pair	0
hard	2X	AB|CD	20	89	CASTER-pair	0
hard	2X	AB|CD	20	90	CASTER-pair	0
hard	2X	AB|CD	20	91	CASTER-pair	0
hard	2X	AB|CD	20	92	CASTER-pair	0
hard	2X	AB|CD	20	93	CASTER-pair	0
hard	2X	AB|CD	20	94	CASTER-pair	0
hard	2X	AB|CD	20	95	CASTER-pair	0
hard	2X	AB|CD	20	96	CASTER-pair	0
hard	2X	AB|CD	20	97	CASTER-pair	0
hard	2X	AB|CD	20	98	CASTER-pair	0
hard	2X	AB|CD	20	99	CASTER-pair	0
hard	2X	AB|CD	20	100	CASTER-pair	0
hard	2X	AC|BD	1	1	CASTER-pair	0
hard	2X	AC|BD	1	2	CASTER-pair	0
hard	2X	AC|BD	1	3	CASTER-pair	0
hard	2X	AC|BD	1	4	CASTER-pair	0
hard	2X	AC|BD	1	5	CASTER-pair	0
hard	2X	AC|BD	1	6	CASTER-pair	0
hard	2X	AC|BD	1	7	CASTER-pair	0
hard	2X	AC|BD	1	8	CASTER-pair	0
hard	2X	AC|BD	1	9	CASTER-pair	0
hard	2X	AC|BD	1	10	CASTER-pair	1
hard	2X	AC|BD	1	11	CASTER-pair	0
hard	2X	AC|BD	1	12	CASTER-pair	1
hard	2X	AC|BD	1	13	CASTER-pair	0
hard	2X	AC|BD	1	14	CASTER-pair	0
hard	2X	AC|BD	1	15	CASTER-pair	0
hard	2X	AC|BD	1	16	CASTER-pair	1
hard	2X	AC|BD	1	17	CASTER-pair	0
hard	2X	AC|BD	1	18	CASTER-pair	1
hard	2X	AC|BD	1	19	CASTER-pair	0
hard	2X	AC|BD	1	20	CASTER-pair	0
hard	2X	AC|BD	1	21	CASTER-pair	0
hard	2X	AC|BD	1	22	CASTER-pair	0
hard	2X	AC|BD	1	23	CASTER-pair	0
hard	2X	AC|BD	1	24	CASTER-pair	0
hard	2X	AC|BD	1	25	CASTER-pair	0
hard	2X	AC|BD	1	26	CASTER-pair	0
hard	2X	AC|BD	1	27	CASTER-pair	1
hard	2X	AC|BD	1	28	CASTER-pair	1
hard	2X	AC|BD	1	29	CASTER-pair	0
hard	2X	AC|BD	1	30	CASTER-pair	0
hard	2X	AC|BD	1	31	CASTER-pair	0
hard	2X	AC|BD	1	32	CASTER-pair	1
hard	2X	AC|BD	1	33	CASTER-pair	0
hard	2X	AC|BD	1	34	CASTER-pair	0
hard	2X	AC|BD	1	35	CASTER-pair	0
